IMSS Item Identifier,Title,Subject(s),Object Type,Object Type,Object Type,Material,Material,Material,Material,Material, , ,
urn:imss:instrument:403019,+Surveyor's square@en, geometry, surveying instruments , , ,brass, , , , , , ,
urn:imss:instrument:403010,+Surveyor's square@en, geometry, surveying instruments , , ,brass, , , , , , ,
urn:imss:instrument:405026,+Telescope for Torricelli's lens@en, astronomy; optics, lenses, , telescopes,brass, , , , , , ,
urn:imss:instrument:405042,+Telescope in the form of a walking stick@en, astronomy; optics, telescopes, , ,silk ,wood ,silver ,iron ,brass, , ,
urn:imss:instrument:405050,+Telescope with accessories@en, astronomy; optics, telescopes, , ,wood ,cardboard ,leather, , , , ,
urn:imss:instrument:405055,+Telescope with square section@en, astronomy; optics, telescopes, , ,wood ,brass, , , , , ,
urn:imss:instrument:405047,+Telescope@en, astronomy;  optics, telescopes, , ,wood ,cardboard ,leather ,paper ,brass, , ,
urn:imss:instrument:405025,+Telescope@en, astronomy; optics, telescopes, , ,wood ,marbled paper ,cardboard, , , , ,
urn:imss:instrument:405040,+Telescope@en, astronomy; optics, telescopes, , ,wood ,cardboard, , , , , ,
urn:imss:instrument:405030,+Terrestrial telescope@en, astronomy;  optics, telescopes, , ,silk ,velvet ,paper, , , , ,
urn:imss:instrument:405049,+Terrestrial telescope@en, astronomy; optics, telescopes, , ,cardboard ,paper, , , , , ,
urn:imss:instrument:405028,+Terrestrial telescope@en, astronomy; optics, telescopes, ,leather ,cardboard, , , , , , ,
urn:imss:instrument:405024,+Terrestrial telescope@en, astronomy; optics, telescopes, , ,cardboard ,leather, , , , , ,
urn:imss:instrument:405041,+Terrestrial telescope@en, astronomy; optics, telescopes, , ,horn ,cardboard ,leather ,brass, , , ,
urn:imss:instrument:405038,+Terrestrial telescope@en, astronomy; optics, telescopes, , ,parchment ,cardboard, , , , , ,
urn:imss:instrument:405056,+Terrestrial telescope@en, astronomy; optics, telescopes, , ,wood ,leather ,cardboard, , , , ,
urn:imss:instrument:405033,+Terrestrial telescope@en, astronomy; optics, telescopes, , ,leather ,cardboard, , , , , ,
urn:imss:instrument:405035,+Terrestrial telescope@en, astronomy; optics, telescopes, , ,parchment ,cardboard, , , , , ,
urn:imss:instrument:405052,+Terrestrial telescope@en, astronomy; optics, telescopes, , ,wood ,leather, , , , , ,
urn:imss:instrument:405031,+Terrestrial telescope@en, astronomy; optics, telescopes, , ,cardboard ,paper, , , , , ,
urn:imss:instrument:405027,+Terrestrial telescope@en, astronomy; optics, telescopes, , ,cardboard ,paper, , , , , ,
urn:imss:instrument:405048,+Terrestrial telescope@en, astronomy; optics, telescopes, , ,mahogany ,brass, , , , , ,
urn:imss:instrument:405023,+Terrestrial telescope@en, astronomy;  optics, telescopes, , ,parchment ,leather ,cardboard, , , , ,
urn:imss:instrument:405039,+Terrestrial telescope@en, astronomy; optics, telescopes, , ,cardboard ,paper ,brass, , , , ,
urn:imss:instrument:405053,+Terrestrial telescope@en, astronomy; optics, telescopes, , ,cardboard ,leather, , , , , ,
urn:imss:instrument:405034,+Terrestrial telescope@en, astronomy; optics, telescopes, , ,parchment ,cardboard, , , , , ,
urn:imss:instrument:405037,+Terrestrial telescope@en, astronomy; optics, telescopes, , ,leather ,cardboard, , , , , ,
urn:imss:instrument:405051,+Terrestrial telescope@en, astronomy; optics, telescopes, , ,wood ,leather ,cardboard, , , , ,
urn:imss:instrument:405036,+Terrestrial telescope@en, astronomy; optics, telescopes, , ,cardboard ,paper, , , , , ,
urn:imss:instrument:405032,+Terrestrial telescope@en, astronomy; optics, telescopes, , ,leather ,cardboard ,paper, , , , ,
urn:imss:place:700731,+The Uffizi Loggia@en, art, loggias, , , , , , , , , ,
urn:imss:instrument:401074,+Theodolite@en, mathematics, surveying instruments, scientific instruments, theodolites ,brass, , , , , , ,
urn:imss:instrument:402028,+Theodolite@en, mathematics; geometry, surveying instruments, scientific instruments, theodolites,wood,brass, , , , , ,
urn:imss:instrument:401077,+Theodolite@en, mathematics; geometry, surveying instruments, scientific instruments, theodolites ,iron, , , , , , ,
urn:imss:instrument:402065,+Theodolite@en, mathematics; geometry, surveying instruments, scientific instruments, theodolites ,brass, , , , , , ,
urn:imss:instrument:402024,+Theodolite@en, mathematics; geometry, surveying instruments, scientific instruments, theodolites ,leather,brass, , , , , ,
urn:imss:instrument:402064,+Theodolite@en, mathematics; geometry, surveying instruments, scientific instruments, theodolites ,brass, , , , , , ,
urn:imss:instrument:402074,+Theodolite@en, mathematics;  geometry, surveying instruments, scientific instruments, theodolites ,brass, , , , , , ,
urn:imss:instrument:404007,+Thermoscope@en, meteorology, thermoscopes , , ,glass, , , , , , ,
urn:imss:instrument:416010,+Third-order lever@en, mechanics, scientific instruments, machines , ,wood ,brass ,lead, , , , ,
urn:imss:instrument:401107,+Three-legged compass@en, mathematics; geometry, drawing instruments , compasses , ,brass, , , , , , ,
urn:imss:instrument:414050,+Thunder fa??ade@en, electrical engineering, lightning rods , , ,glass ,mahogany ,brass, , , , ,
urn:imss:instrument:414052,+Thunder fa??ade@en, electrical engineering, lightning rods , , ,mahogany ,brass, , , , , ,
urn:imss:instrument:414051,+Thunder fa??ade@en, electrical engineering, lightning rods , , ,mahogany ,brass, , , , , ,
urn:imss:instrument:414049,+Thunder pyramid@en, electrical engineering, lightning rods , , ,mahogany ,brass, , , , , ,
urn:imss:instrument:403034,+Triangulation instrument@en, mathematics; geometry, scientific instruments , surveying instruments, ,brass, , , , , , ,
urn:imss:instrument:403008,+Triangulation instrument@en, mathematics;  geometry, surveying instruments , , ,wood ,leather ,brass, , , , ,
urn:imss:place:700170,+Tribuna di Galileo@en, history;  art; science, memorials, , , , , , , , , ,
urn:imss:instrument:402087,+Trigonometric machine@en, mathematics;  geometry, scientific instruments , , calculators ,silver ,brass, , , , , ,
urn:imss:instrument:402012,+Tripod base@en, , tripods , , ,wood, , , , , , ,
urn:imss:instrument:402019,+Tripod legs@en, tripods, , , ,wood ,brass, , , , , ,
urn:imss:instrument:402013,+Tripod legs@en, , tripods, , ,wood ,brass, , , , , ,
urn:imss:instrument:414117,+Trough battery@en, electrical engineering, batteries , , ,wood ,zinc ,copper ,mahogany, , , ,
urn:imss:instrument:405007,+Tube for composite eyepiece@en, optics, lenses, , ,cardboard ,paper, , , , , ,
urn:imss:instrument:405016,+Tube for eyepiece@en, optics, lenses, , ,wood ,cardboard ,paper, , , , ,
urn:imss:instrument:401030,+Vertical dial@en, astronomy, sundials , , ,brass, , , , , , ,
urn:imss:instrument:414070,+Volta hydrogen lamp with electrophorus@en, electrical engineering, electric discharge lamps , , ,wood ,glass ,brass, , , , ,
urn:imss:instrument:414069,+Volta hydrogen lamp@en, electrical engineering, electric discharge lamps , , ,glass ,brass, , , , , ,
urn:imss:instrument:414067,+Voltaic detonating-gas eudiometer@en, electrical engineering, meteorological instruments??, , ,glass ,brass, , , , , ,
urn:imss:instrument:414064,+Voltaic pistol@en, electrical engineering, scientific instruments , , ,glass ,mahogany ,brass, , , , ,
urn:imss:instrument:404015,+Water-raising machine@en, mechanics, scientific instruments , , ,wood ,iron, , , , , ,
urn:imss:instrument:414135,+Wheatstone rheostat@en, electrical engineering, rheostats, , ,mahogany ,brass, , , , , ,
urn:imss:instrument:414136,+Wheatstone's A.B.C. telegraph transmitter@en, electrical engineering, telegraphs, , ,iron ,mahogany ,brass, , , , ,
urn:imss:instrument:414034,+Wimshurst electrical machine@en, electrical engineering, scientific instruments , , ,aluminum ,glass ,nickel ,mahogany ,brass, , ,
urn:imss:instrument:402052,+Windrose@en, geography, meteorological instruments, navigational instruments , ,copper, , , , , , ,
urn:imss:instrument:414018,+Winter plate electrical machine@en, electrical engineering, scientific instruments , , ,gold ,wood ,glass ,iron ,tinfoil ,foil ,mahogany ,brass
