IMSS Item Identifier,Title,Subject(s),Object Type,Object Type,Object Type,Material,Material,Material,Material,Material, , ,
urn:imss:instrument:401122,+Caliper compass@en, mathematics; geometry, scientific instruments , , calipers ,steel, , , , , , ,
urn:imss:instrument:401123,+Caliper compass@en, mathematics; geometry, scientific instruments , , calipers ,brass, , , , , , ,
urn:imss:instrument:405017,+Cardboard tube@en, optics, lenses, , ,cardboard, , , , , , ,
urn:imss:instrument:414031,+Carr?? electrical machine@en, electrical engineering, scientific instruments , , ,glass ,mahogany ,brass, , , , ,
urn:imss:instrument:401129,+Case for military instruments@en, geometry, scientific instruments , , ,iron ,leather ,brass, , , , ,
urn:imss:instrument:403017,+Case of mathematical instruments@en, mathematics; geometry, scientific instruments , , drawing instruments ,leather ,paper ,brass, , , , ,
urn:imss:instrument:414032,+Cecchi electrical machine@en, electrical engineering, scientific instruments , , ,glass ,copper ,mahogany ,brass, , , ,
urn:imss:instrument:403006,+Celestial globe@en, cosmography;  astronomy, celestial globes , , ,wood, , , , , , ,
urn:imss:instrument:403037,+Clinometer@en, geometry, surveying instruments, clinometers , ,iron ,brass, , , , , ,
urn:imss:instrument:417012,+Cogwheels@en, mechanics, gears , , ,wood ,iron ,brass ,lead, , , ,
urn:imss:instrument:401102,+Compass known as Michelangelo's compass@en, mathematics; geometry, drawing instruments , dividers , ,steel ,brass,cardboard , , , , ,
urn:imss:instrument:405019,+Compound-eyepiece tubes@en, optics, lenses, , ,cardboard ,paper, , , , , ,
urn:imss:instrument:414125,+Copper-ball machine for demonstrating induced electric currents@en, electrical engineering, scientific instruments , , ,copper ,mahogany ,brass, , , , ,
urn:imss:instrument:403026,+Correction dial@en, astronomy, sundials , , ,glass ,brass, , , , , ,
urn:imss:instrument:414141,+Coulomb magnetic declination compass@en, electrical engineering, declinometers , , ,marble ,copper ,steel ,brass, , , ,
urn:imss:instrument:414142,+Coulomb magnetic declination compass@en, electrical engineering, declinometers , , ,marble ,copper ,steel ,brass, , , ,
urn:imss:instrument:402008,+Cross-staff@en, astronomy, cross-staffs , , ,wood ,brass, , , , , ,
urn:imss:instrument:402007,+Cross-staff@en, astronomy, cross-staffs , , ,wood ,brass, , , , , ,
urn:imss:instrument:401028,+Cylinder dial@en, astronomy, sundials , , ,wood ,bone ,tin, , , , ,
urn:imss:instrument:403057,+Cylinder dial@en, astronomy, sundials , , ,wood, , , , , , ,
urn:imss:instrument:401029,+Cylinder dial@en, astronomy, sundials , , ,wood ,paper, , , , , ,
urn:imss:instrument:414021,+Cylinder electrical machine@en, electrical engineering, scientific instruments , , ,glass ,mahogany ,brass, , , , ,
urn:imss:instrument:414012,+Cylinder electrical machine@en, electrical engineering, scientific instruments , , ,wood ,cloth ,tinfoil ,mahogany ,brass, , ,
urn:imss:instrument:417020,+Cylinder on inclined plane@en, mechanics, scientific instruments, machines , ,wood, , , , , , ,
urn:imss:instrument:414121,+Demonstration model of astatic galvanometer@en, electrical engineering, galvanometers , , ,mahogany ,brass, , , , , ,
urn:imss:instrument:414118,+Demonstration model of Oersted's experiment@en, electrical engineering, scientific instruments , , ,wood ,copper ,brass, , , , ,
urn:imss:instrument:414137,+Dial telegraph@en, electrical engineering, telegraphs, , ,wood ,iron ,brass, , , , ,
urn:imss:instrument:401056,+Diptych dial@en, astronomy, sundials , , ,wood, , , , , , ,
urn:imss:instrument:401048,+Diptych dial@en, astronomy, sundials , , ,ivory, , , , , , ,
urn:imss:instrument:401047,+Diptych dial@en, astronomy, sundials , , ,ivory ,ebony, , , , , ,
urn:imss:instrument:401057,+Diptych dial@en, astronomy, sundials , , ,wood, , , , , , ,
urn:imss:instrument:402041,+Diptych dial@en, astronomy, sundials , , ,ivory, , , , , , ,
urn:imss:instrument:401049,+Diptych dial@en, astronomy, sundials , , ,wood, , , , , , ,
urn:imss:instrument:402039,+Diptych dial@en, astronomy, sundials , , ,ivory, , , , , , ,
urn:imss:instrument:402040,+Diptych dial@en, astronomy, sundials , , ,ivory, , , , , , ,
urn:imss:instrument:401097,+Dividers@en, mathematics; geometry, drawing instruments , dividers , ,brass,steel , , , , , ,
urn:imss:instrument:401126,+Dividers@en, mathematics; geometry, dividers , , ,iron, , , , , , ,
urn:imss:instrument:403041,+Dividers@en, mathematics;  geometry, scientific instruments , , dividers ,gold ,steel, , , , , ,
urn:imss:instrument:401098,+Dividers@en, mathematics;  geometry, drawing instruments , , dividers ,brass, , , , , , ,
urn:imss:instrument:416006,+Double cone on an inclined plane@en, mechanics, scientific instruments, machines , ,wood ,brass, , , , , ,
urn:imss:instrument:417021,+Double cone on inclined plane@en, mechanics, scientific instruments, machines , ,wood, , , , , , ,
urn:imss:instrument:416016,+Double pendulum to illustrate the damping of oscillations@en, mechanics, pendulums , , ,wood ,iron, , , , , ,
urn:imss:instrument:401091,+Drawing compass@en, mathematics; geometry, drawing instruments , dividers , ,brass, , , , , , ,
urn:imss:instrument:414017,+Drum electrical machine@en, electrical engineering, scientific instruments , , ,glass ,velvet ,iron ,mahogany ,brass, , ,
urn:imss:instrument:414129,+Duchenne's medical magneto-electric machine@en, electrical engineering, scientific instruments , , ,iron ,mahogany ,brass, , , , ,
urn:imss:instrument:414060,+Electric bells@en, electrical engineering, scientific instruments , , ,copper-nickel alloy ,glass ,mahogany ,brass, , , ,
urn:imss:instrument:414130,+Electric motor after Botto@en, electrical engineering, motors , , ,wood ,glass ,iron ,copper ,brass, , ,
urn:imss:instrument:414132,+Electric motor by Pacinotti@en, electrical engineering, motors , , ,iron ,mahogany ,brass, , , , ,
urn:imss:instrument:414066,+Electric pistol; Volta type@en, electrical engineering, scientific instruments , , ,glass ,brass, , , , , ,
urn:imss:instrument:414065,+Electric pistol; Volta type@en, electrical engineering, scientific instruments , , ,glass ,brass, , , , , ,
urn:imss:instrument:417013,+Endless screw@en, mechanics, machines , , ,wood ,iron ,brass, , , , ,
urn:imss:instrument:402073,+Equinoctial dial@en, astronomy, sundials , , ,brass, , , , , , ,
urn:imss:instrument:414144,+Equinoctial dial@en, astronomy, sundials , , ,brass, , , , , , ,
urn:imss:instrument:405058,+Eyepiece lens@en, optics, lenses, , ,glass ,cardboard, , , , , ,
urn:imss:instrument:405009,+Eyepiece lens@en, optics, lenses, , ,glass ,cardboard ,paper, , , , ,
urn:imss:instrument:405012,+Eyepiece lens@en, optics, lenses, , ,wood ,glass ,paper, , , , ,
urn:imss:instrument:405014,+Eyepiece lens@en, optics, lenses, , ,wood ,glass ,leather, , , , ,
urn:imss:instrument:405010,+Eyepiece lens@en, optics, lenses, , ,wood ,glass ,cardboard, , , , ,
urn:imss:instrument:405008,+Eyepiece lens@en, optics, lenses, , ,glass ,cardboard ,paper, , , , ,
urn:imss:instrument:405011,+Eyepiece lens@en, optics, lenses, , ,wood ,glass ,cardboard, , , , ,
urn:imss:instrument:405018,+Eyepiece tube@en, optics, lenses, , ,wood ,leather ,cardboard ,paper, , , ,
urn:imss:instrument:417011,+Fan@en, mechanics, fans , , ,wood ,iron ,brass, , , , ,
urn:imss:instrument:414072,+Faraday's net@en, electrical engineering, scientific instruments , , ,silk ,glass ,cotton ,brass, , , ,
urn:imss:instrument:416013,+First-order lever as balance beam@en, mechanics, scientific instruments, machines , balances ,wood ,brass, , , , , ,
urn:imss:instrument:416012,+First-order lever with bent beam@en, mechanics, scientific instruments, machines , ,wood ,brass ,lead, , , , ,
urn:imss:instrument:416008,+First-order lever@en, mechanics, scientific instruments, machines , ,wood ,brass, , , , , ,
urn:imss:instrument:416009,+First-order lever@en, mechanics, scientific instruments, machines , ,wood ,brass ,lead, , , , ,
urn:imss:instrument:403001,+Folding rule@en, geometry, surveying instruments, scientific instruments , ,brass, , , , , , ,
urn:imss:instrument:403024,+Folding rule@en, mathematics; geometry, scientific instruments , , scales ,brass, , , , , , ,
urn:imss:instrument:402060,+Folding rule@en, mathematics; geometry, scientific instruments , , scales ,brass, , , , , , ,
urn:imss:instrument:402034,+Folding rule@en, geometry, scientific instruments, scales , ,brass, , , , , , ,
urn:imss:instrument:403002,+Folding rule@en, geometry, surveying instruments, scientific instruments , scales ,brass, , , , , , ,
urn:imss:instrument:401079,+Folding square@en, mathematics; geometry, surveying instruments, scientific instruments, squares ,iron,brass, , , , , ,
urn:imss:instrument:402079,+Folding square@en, mathematics; geometry, surveying instruments, scientific instruments, squares,brass, , , , , , ,
urn:imss:instrument:403014,+Four-point proportional compasses@en, mathematics;  geometry, scientific instruments , , proportional compasses ,brass, , , , , , ,
